Weight	Nested	Procedure	Arew	Brew	Crew	topstim	leftstim	rightstim	reinforced1	reinforced2	reinforced3	jitter1	jitter2	compresp	repeatstim
1		normalproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2868	1762	7	
1		doubleproc	1	0	1	A.bmp	C.bmp	B.bmp	7	2	0	4724	3671	3	
1		mystnorm	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	2241	3611	2	
1		doubleproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	3611	2167	7	
1		doubleproc	0	0	1	C.bmp	A.bmp	B.bmp	7	0	0	2308	2385	3	
1		halfproc	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	3672	2777	2	
1		doubleproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	4930	6611	3	
1		normalproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	9178	1584	2	
1		normalproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	2213	2909	7	
1		comphalf	0	0	0	B.bmp	C.bmp	A.bmp	0	0	0	2211	1832	3	
1		normalproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	3292	4276	2	
1		halfproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	6237	2205	7	
1		halfproc	1	1	1	B.bmp	C.bmp	A.bmp	7	2	3	5454	2037	3	
1		normalproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	2696	5182	2	
1		normalproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2369	2449	7	
1		halfproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	8714	1677	3	
1		halfproc	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	2555	3500	2	
1		doubleproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	2088	3674	7	
1		halfproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	4141	1762	3	
1		normalproc	0	1	0	A.bmp	C.bmp	B.bmp	0	0	3	2898	2553	2	
1		doubleproc	1	0	1	A.bmp	B.bmp	C.bmp	7	0	3	4140	4322	7	
1		halfproc	0	1	1	A.bmp	C.bmp	B.bmp	0	2	3	5061	3700	3	
1		mystnorm	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	2481	2128	2	
